Name,Storage,Price,ScreenSize,CPU,RAM,GPU,Shell,Weight,Battery,Shop
Laptop Dell Vostro 3520 F0V0VI3,512,9690000.0,15.6,Intel Core i3-1215U,8GB,Intel UHD Graphics,nhựa,1.9,"3-cell, 41 Wh lithium-polymer",cellphones
Laptop Dell Inspiron 15 3520 8JTD9,512,10290000.0,15.6,12th Gen Intel Core i3-1215U,8GB,Intel UHD Graphics,nhựa,1.65,"3 Cell, 41 Wh, integrated",cellphones
Laptop Dell Vostro 3520 F0V0V256,256,11690000.0,15.6,Intel Core i5-1235U,8GB,Intel Iris Xe Graphics,nhựa,1.9,"3-cell, 41Wh",cellphones
Laptop Dell Inspiron 15 3520-5810BLK 102F0,256,12290000.0,15.6,Intel Core i5-1155G7,8GB,Intel Iris Xe Graphics,nhựa,1.9,lithium-polymer,cellphones
Laptop Dell Vostro 3520 F0V0V,512,12590000.0,15.6,Intel Core i5-1235U,8GB,Intel Iris Xe,nhựa,1.66,"3 cells , 41WHr",cellphones
Laptop Dell Inspiron 15 3520-5124BLK GJ8W7,512,13290000.0,15.6,Intel Core i5-1235U,8GB,Intel UHD Graphics,Nhựa,1.66,"3-cell, 41 Wh lithium-polymer",cellphones
Laptop Dell Inspiron 15 3520 6R6NK,512,13490000.0,15.6,Intel Core i5-1235U,8GB,Intel UHD Graphics,nhựa,1.66,"3-cell, 41 Wh lithium-polymer",cellphones
Laptop Dell Inspiron 15 3520 6R6NK V2,512,13990000.0,15.6,Intel Core i5-1235U,16GB,Intel UHD Graphics,nhựa,1.66,"3-cell, 41 Wh lithium-polymer",cellphones
Laptop Dell Inspiron 15 3520-5124BLK GJ8W7 V2,512,14290000.0,15.6,Intel Core i5-1235U,16GB,Intel UHD Graphics,nhựa,1.66,"3-cell, 41 Wh lithium-polymer",cellphones
Laptop Dell Vostro 3530 2H1024PI5,512,14990000.0,15.6,Intel Core i5-1334U thế hệ thứ 13,16GB,Intel UHD Graphics,Carbon,1.66,"41Wh , 3Cell",cellphones
Laptop Dell Inspiron 15 3520 8D10NK,512,16490000.0,15.6,Intel Core i5-1235U,16GB,Intel Iris Xe Graphics,nhựa,1685.0,3 Cell Int (41Wh),cellphones
Laptop Dell Inspiron 15 3520 71045026,512,16490000.0,15.6,Intel Core i5-1235U,16GB,Intel Iris Xe Graphics,Nhựa,1.9,3 cell,cellphones
