Model_Name,Product_Line,Segment,CPU_Vendor,CPU_Model,CPU_Generation,GPU_Type,GPU_Name,GPU_VRAM_GB,RAM_GB,Storage_GB,Screen_Size_Inches,Screen_Panel_Type,Screen_Refresh_Rate_Hz,Screen_Touch,Battery_Whr,Price_VND
Vostro 7660,Vostro,Business,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,256,13.3,Standard,60,No,54,13120000
Vostro 7597,Vostro,Business,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,8,512,15.6,IPS,60,No,54,16880000
Inspiron 5867,Inspiron,Consumer,Intel,Core i5,14,Dedicated,AMD Radeon RX 6500M,4,8,512,15.6,IPS,60,No,54,19400000
Vostro 3238,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,256,14,Standard,60,Yes,41,17330000
Latitude 3058,Latitude,Business/Ultrabook,AMD,Ryzen 7,6000,Integrated,AMD Radeon Graphics,0,16,2000,14,IPS,60,Yes,64,33510000
Inspiron 3345,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,60,16460000
Inspiron 5854,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,14,Standard,120,No,54,18430000
Inspiron 3117,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,14,IPS,60,No,41,15870000
Latitude 3081,Latitude,Business/Ultrabook,Intel,Core i5,14,Dedicated,NVIDIA RTX 3050,6,16,512,14,IPS,60,Yes,60,34050000
Inspiron 7333,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,14,Standard,60,No,54,18560000
Inspiron 7736,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,14,IPS,60,No,54,13680000
Inspiron 3875,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,256,14,Standard,60,No,60,13850000
Inspiron 7377,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,32,256,15.6,Standard,60,No,41,15840000
Inspiron 3503,Inspiron,Consumer,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,32,512,14,IPS,60,Yes,54,20070000
Inspiron 7622,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,16,256,15.6,Standard,60,No,41,14290000
Inspiron 7734,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,1000,14,Standard,60,No,54,17510000
Inspiron 7308,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,512,15.6,Standard,60,Yes,54,12860000
Vostro 3623,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,13.3,Standard,60,No,60,14880000
Inspiron 3800,Inspiron,Consumer,AMD,Ryzen 3,6000,Dedicated,NVIDIA RTX 4060,8,8,256,15.6,Standard,90,No,41,22490000
XPS 1373,XPS,Ultrabook/Premium,Intel,Core Ultra 5,Ultra,Dedicated,NVIDIA RTX 3050,6,16,2000,13.3,IPS,90,No,64,45420000
Vostro 7538,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,512,15.6,IPS,60,No,60,16960000
Inspiron 5808,Inspiron,Consumer,AMD,Ryzen 7,6000,Integrated,AMD Radeon Graphics,0,8,256,13.3,Standard,60,No,54,17760000
Vostro 3235,Vostro,Business,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,13.3,Standard,60,No,41,16240000
Vostro 3852,Vostro,Business,AMD,Ryzen 3,5000,Integrated,AMD Radeon Graphics,0,8,512,15.6,IPS,90,No,41,14360000
G15 1517,G Series,Gaming,AMD,Ryzen 7,7000,Dedicated,NVIDIA RTX 3060,6,16,256,17.3,IPS,165,Yes,60,39380000
Inspiron 5958,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,256,15.6,IPS,144,No,54,15100000
Inspiron 7396,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,IPS,60,No,54,14500000
Inspiron 5188,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,256,15.6,IPS,120,Yes,60,18930000
Latitude 9056,Latitude,Business/Ultrabook,Intel,Core Ultra 5,Ultra,Integrated,Intel Iris Xe,0,16,1000,14,IPS,60,No,80,31070000
Latitude 7046,Latitude,Business/Ultrabook,Intel,Core i7,12,Integrated,Intel Iris Xe,0,16,1000,15.6,IPS,60,No,41,33320000
Inspiron 5690,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,1000,15.6,IPS,60,No,60,18440000
Inspiron 7126,Inspiron,Consumer,Intel,Core i7,13,Integrated,Intel Iris Xe,0,8,1000,17.3,IPS,60,No,41,21700000
XPS 1396,XPS,Ultrabook/Premium,Intel,Core Ultra 7,Ultra,Dedicated,AMD Radeon RX 6500M,4,32,512,13.3,IPS,60,Yes,64,42560000
Inspiron 7717,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,1000,15.6,IPS,60,No,41,15920000
Vostro 7545,Vostro,Business,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,8,256,14,IPS,60,Yes,54,15650000
Latitude 3074,Latitude,Business/Ultrabook,AMD,Ryzen 7,6000,Integrated,AMD Radeon Graphics,0,8,512,14,OLED,60,No,54,29830000
Inspiron 7709,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,16,256,14,Standard,60,No,41,14190000
Latitude 3061,Latitude,Business/Ultrabook,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,1000,15.6,Standard,90,No,54,29860000
Inspiron 5173,Inspiron,Consumer,Intel,Core i5,12,Integrated,Intel UHD Graphics,0,8,512,14,IPS,60,No,54,15340000
Vostro 5907,Vostro,Business,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,32,512,14,IPS,60,No,41,18860000
Inspiron 3783,Inspiron,Consumer,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,8,512,13.3,Standard,60,No,54,13430000
Latitude 3038,Latitude,Business/Ultrabook,AMD,Ryzen 3,7000,Integrated,AMD Radeon Graphics,0,16,1000,15.6,IPS,60,No,70,28760000
Inspiron 3683,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,15.6,Standard,60,No,41,16340000
Latitude 9087,Latitude,Business/Ultrabook,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,256,13.3,Standard,60,No,70,26930000
G15 9272,G Series,Gaming,AMD,Ryzen 5,7000,Dedicated,NVIDIA RTX 4050,6,16,256,15.6,IPS,165,No,64,39470000
Inspiron 3375,Inspiron,Consumer,Intel,Core i5,13,Dedicated,AMD Radeon RX 6500M,4,8,512,14,Standard,60,No,41,19210000
Vostro 3225,Vostro,Business,Intel,Core Ultra 7,Ultra,Integrated,Intel Arc Graphics (Integrated),0,16,512,14,IPS,60,No,54,24620000
Vostro 7551,Vostro,Business,AMD,Ryzen 5,6000,Integrated,AMD Radeon Graphics,0,8,256,13.3,Standard,120,No,41,17410000
Vostro 5963,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,1000,15.6,IPS,60,Yes,54,19790000
Inspiron 5662,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,16,512,15.6,OLED,60,No,64,20990000
Vostro 7802,Vostro,Business,Intel,Core i5,14,Integrated,Intel Iris Xe,0,16,512,15.6,Standard,60,No,41,20380000
Inspiron 3848,Inspiron,Consumer,Intel,Core i5,14,Integrated,Intel Iris Xe,0,8,256,15.6,IPS,120,No,54,18050000
Latitude 7034,Latitude,Business/Ultrabook,Intel,Core i7,14,Integrated,Intel Iris Xe,0,16,512,14,IPS,60,No,60,29530000
Inspiron 5325,Inspiron,Consumer,Intel,Core i3,12,Integrated,Intel UHD Graphics,0,8,256,17.3,Standard,60,No,54,13050000
Vostro 5964,Vostro,Business,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,16,256,14,Standard,60,No,41,15950000
Inspiron 3252,Inspiron,Consumer,Intel,Core i3,14,Dedicated,NVIDIA RTX 4050,6,32,512,14,IPS,60,No,41,24170000
Inspiron 3148,Inspiron,Consumer,AMD,Ryzen 5,7000,Integrated,AMD Radeon Graphics,0,8,256,14,IPS,60,No,41,17070000
Inspiron 5980,Inspiron,Consumer,Intel,Core i3,14,Integrated,Intel UHD Graphics,0,32,512,14,IPS,60,Yes,41,19460000
Vostro 7854,Vostro,Business,Intel,Core i3,14,Dedicated,AMD Radeon RX 6500M,4,8,256,14,Standard,60,No,54,15750000
XPS 1491,XPS,Ultrabook/Premium,AMD,Ryzen 5,7000,Dedicated,Intel Arc A370M,4,32,512,14,IPS,60,Yes,80,39250000
Inspiron 5499,Inspiron,Consumer,Intel,Core i5,13,Integrated,Intel Iris Xe,0,8,256,14,Standard,60,No,41,15370000
