iter	RMSE
0	141.3528265
1	141.3524275
2	141.3519249
3	141.3517771
4	141.3513115
5	141.3508311
6	141.3506685
7	141.3502029
8	141.3497299
9	141.349353
10	141.3490056
11	141.3486583
12	141.3485252
13	141.3481261
14	141.3477714
15	141.3474979
16	141.3472171
17	141.3467293
18	141.3464041
19	141.3458941
20	141.3456207
21	141.3453251
22	141.3450959
23	141.3446451
24	141.3442164
25	141.3438247
26	141.3434256
27	141.3430634
28	141.3426939
29	141.3423391
30	141.3419104
31	141.3415926
32	141.3412231
33	141.3408387
34	141.340484
35	141.3401957
36	141.3398262
37	141.3396562
38	141.3394344
39	141.3389614
40	141.3385697
41	141.3379562
42	141.3376975
43	141.3373723
44	141.336951
45	141.336648
46	141.3364927
47	141.3359458
48	141.3356427
49	141.3353988
50	141.3348445
51	141.3346523
52	141.3343271
53	141.3341497
54	141.3338836
55	141.3333218
56	141.3327896
57	141.3323757
58	141.331947
59	141.3317622
60	141.3315331
61	141.3310896
62	141.3306683
63	141.3303948
64	141.3301878
65	141.3299735
66	141.3296482
67	141.32936
68	141.3288869
69	141.3286873
70	141.3284508
71	141.3279629
72	141.3277781
73	141.3273494
74	141.3266989
75	141.3265141
76	141.3261667
77	141.3256936
78	141.3255236
79	141.3252206
80	141.324851
81	141.3245183
82	141.3242005
83	141.3237865
84	141.3233356
85	141.3225077
86	141.3221899
87	141.3217685
88	141.321325
89	141.3211402
90	141.3206597
91	141.3202753
92	141.3198687
93	141.3194696
94	141.3191073
95	141.3189152
96	141.3185751
97	141.3179172
98	141.3175032
99	141.3171558
100	141.3169858
101	141.316727
102	141.316424
103	141.3159582
104	141.3156551
105	141.3152412
106	141.3149307
107	141.314465
108	141.3142432
109	141.314014
110	141.3139549
111	141.3136592
112	141.313467
113	141.3131787
114	141.3127721
115	141.312299
116	141.3119441
117	141.3116262
118	141.3113823
119	141.3111309
120	141.3107613
121	141.3102734
122	141.3099407
123	141.3096302
124	141.3090832
125	141.308854
126	141.3085731
127	141.3081517
128	141.3080112
129	141.3076859
130	141.3074272
131	141.3070206
132	141.3067914
133	141.3065992
134	141.3063996
135	141.3060373
136	141.3057194
137	141.3053128
138	141.3048988
139	141.3042409
140	141.3038047
141	141.3035016
142	141.303021
143	141.3027105
144	141.3023482
145	141.3018381
146	141.3011727
147	141.3009879
148	141.3006996
149	141.3002929
150	141.2999455
151	141.299598
152	141.2993466
153	141.2990065
154	141.2988734
155	141.2985925
156	141.2984077
157	141.2980232
158	141.2976462
159	141.2973652
160	141.296929
161	141.2964928
162	141.2961453
163	141.295857
164	141.2954577
165	141.2950067
166	141.2947849
167	141.2945114
168	141.29426
169	141.2938755
170	141.2932914
171	141.2928404
172	141.2926482
173	141.2924042
174	141.2921898
175	141.291931
176	141.2914061
177	141.2909477
178	141.2907184
179	141.2904375
180	141.2902083
181	141.2899791
182	141.2897647
183	141.2895281
184	141.2892323
185	141.2887813
186	141.2883229
187	141.2881454
188	141.2873247
189	141.2868811
190	141.2864227
191	141.286186
192	141.2858163
193	141.2854319
194	141.2849365
195	141.284722
196	141.2842932
197	141.2839013
198	141.2834059
199	141.2829992
200	141.2828218
201	141.2826147
202	141.282245
203	141.2818088
204	141.2814391
205	141.2808475
206	141.2803891
207	141.2801007
208	141.2795757
209	141.2792356
210	141.2791099
211	141.2786736
212	141.2782447
213	141.2779564
214	141.277424
215	141.2770469
216	141.2766993
217	141.2764331
218	141.276056
219	141.2757528
220	141.2748655
221	141.2746141
222	141.2742296
223	141.2740965
224	141.2736158
225	141.2733718
226	141.2731574
227	141.2728542
228	141.2723661
229	141.2720851
230	141.2716193
231	141.2712052
232	141.2709168
233	141.2706727
234	141.2703843
235	141.2699037
236	141.2695266
237	141.2689719
238	141.26858
239	141.2683064
240	141.2680846
241	141.2678923
242	141.2676261
243	141.2672415
244	141.2670936
245	141.2665538
246	141.2661767
247	141.2660657
248	141.2656664
249	141.2652967
250	141.2645498
251	141.2644241
252	141.26418
253	141.2639656
254	141.2634257
255	141.2631669
256	141.2629376
257	141.2624052
258	141.2619023
259	141.2615769
260	141.2613107
261	141.2610593
262	141.2606082
263	141.2601866
264	141.2598243
265	141.2594027
266	141.2590773
267	141.2588259
268	141.2583452
269	141.2579902
270	141.2577314
271	141.2572876
272	141.2570584
273	141.2568735
274	141.256622
275	141.2562966
276	141.2558307
277	141.2555423
278	141.255387
279	141.2551873
280	141.2548101
281	141.2545809
282	141.2542333
283	141.2538561
284	141.2533384
285	141.2527616
286	141.2523474
287	141.2518963
288	141.2515782
289	141.251349
290	141.2510088
291	141.2504763
292	141.2504097
293	141.2501435
294	141.2494261
295	141.2490637
296	141.2487974
297	141.2483463
298	141.2479543
299	141.2476954
300	141.247052
301	141.246586
302	141.2462088
303	141.2459426
304	141.2455654
305	141.2452843
306	141.2451216
307	141.2448923
308	141.2444486
309	141.2441527
310	141.2438273
311	141.2433022
312	141.2426661
313	141.2423259
314	141.2420596
315	141.241712
316	141.2413422
317	141.2410389
318	141.2407357
319	141.2405656
320	141.2402031
321	141.2399813
322	141.2395375
323	141.2391898
324	141.2390197
325	141.238857
326	141.2387017
327	141.2385538
328	141.2382727
329	141.2379842
330	141.2377106
331	141.2373259
332	141.2371706
333	141.2368378
334	141.2365345
335	141.2360685
336	141.2357061
337	141.2351514
338	141.2349147
339	141.2347889
340	141.2345966
341	141.2339975
342	141.2336498
343	141.2333244
344	141.2329989
345	141.2323184
346	141.231993
347	141.231416
348	141.2310018
349	141.2307577
350	141.230521
351	141.2303435
352	141.2300476
353	141.2295298
354	141.2290638
355	141.2286496
356	141.228302
357	141.2280579
358	141.2277916
359	141.2274513
360	141.2271702
361	141.2267634
362	141.2266302
363	141.2260015
364	141.2256168
365	141.2252322
366	141.224781
367	141.2243149
368	141.2238267
369	141.2232202
370	141.2230056
371	141.2224656
372	141.222118
373	141.221504
374	141.2209936
375	141.2207717
376	141.2205423
377	141.2202095
378	141.2199358
379	141.2196768
380	141.2190037
381	141.2187078
382	141.2183453
383	141.2178793
384	141.2172801
385	141.2171691
386	141.21674
387	141.2164072
388	141.2161556
389	141.2156896
390	141.2153715
391	141.2149202
392	141.2146391
393	141.2142618
394	141.2139511
395	141.2137218
396	141.2133667
397	141.2128859
398	141.2127157
399	141.2124716
400	141.2118798
401	141.2116282
402	141.211177
403	141.2107627
404	141.2104668
405	141.2102448
406	141.2100599
407	141.2100155
408	141.2096234
409	141.2094902
410	141.2090242
411	141.208817
412	141.2082474
413	141.208018
414	141.2073374
415	141.2069305
416	141.2068418
417	141.2065976
418	141.2061907
419	141.2060502
420	141.2059688
421	141.2057912
422	141.2054879
423	141.2053399
424	141.2047703
425	141.2045927
426	141.204134
427	141.2038085
428	141.2033794
429	141.2030909
430	141.2028024
431	141.2022697
432	141.2019146
433	141.2014263
434	141.2010563
435	141.2007604
436	141.2004719
437	141.2000946
438	141.1998578
439	141.1996654
440	141.1995397
441	141.1990144
442	141.1987036
443	141.1985853
444	141.1979638
445	141.1978528
446	141.1975939
447	141.1973793
448	141.1972165
449	141.1966616
450	141.1960993
451	141.1958256
452	141.1952189
453	141.1950487
454	141.1946862
455	141.1945234
456	141.1943089
457	141.1940721
458	141.1937983
459	141.1933396
460	141.1930511
461	141.1927033
462	141.1924222
463	141.192289
464	141.1920152
465	141.1918081
466	141.1914011
467	141.1910386
468	141.1908832
469	141.1902913
470	141.1901433
471	141.1895662
472	141.1890853
473	141.1888485
474	141.1886709
475	141.1883528
476	141.1878866
477	141.1875093
478	141.1872133
479	141.1869913
480	141.1865104
481	141.1861774
482	141.1858001
483	141.1852895
484	141.184853
485	141.184483
486	141.1838985
487	141.1836469
488	141.1833435
489	141.1829661
490	141.1826554
491	141.1823816
492	141.1817157
493	141.1815085
494	141.1810867
495	141.1807685
496	141.180332
497	141.1799472
498	141.1796068
499	141.1794884
500	141.1793034
501	141.1791184
502	141.1787411
503	141.1783933
504	141.1782157
505	141.1780899
