iter	Passed	Remaining
0	37	37131
1	66	33201
2	97	32258
3	127	31745
4	160	31876
5	190	31558
6	218	30935
7	250	31089
8	277	30506
9	304	30189
10	331	29832
11	363	29896
12	387	29449
13	414	29210
14	441	28972
15	467	28769
16	493	28557
17	519	28320
18	545	28152
19	570	27959
20	599	27926
21	626	27841
22	653	27740
23	679	27632
24	703	27451
25	729	27345
26	756	27258
27	781	27140
28	808	27086
29	836	27039
30	866	27094
31	892	26985
32	917	26888
33	942	26787
34	968	26695
35	994	26621
36	1019	26526
37	1047	26506
38	1077	26550
39	1104	26500
40	1131	26474
41	1158	26429
42	1183	26342
43	1211	26326
44	1240	26335
45	1268	26298
46	1295	26271
47	1324	26271
48	1352	26243
49	1378	26187
50	1404	26140
51	1429	26069
52	1456	26017
53	1480	25937
54	1505	25860
55	1530	25805
56	1555	25741
57	1582	25698
58	1606	25629
59	1631	25555
60	1656	25500
61	1681	25447
62	1707	25389
63	1731	25328
64	1758	25298
65	1786	25283
66	1813	25260
67	1841	25239
68	1871	25249
69	1898	25218
70	1922	25159
71	1947	25105
72	1971	25037
73	1998	25013
74	2026	24995
75	2051	24943
76	2075	24879
77	2101	24845
78	2126	24789
79	2152	24757
80	2179	24730
81	2205	24690
82	2230	24643
83	2258	24628
84	2283	24582
85	2310	24554
86	2335	24508
87	2359	24453
88	2385	24417
89	2409	24363
90	2435	24331
91	2461	24292
92	2487	24259
93	2512	24218
94	2537	24173
95	2561	24120
96	2587	24086
97	2613	24055
98	2638	24011
99	2663	23974
100	2688	23929
101	2715	23908
102	2741	23876
103	2770	23866
104	2795	23830
105	2822	23802
106	2850	23786
107	2876	23760
108	2903	23737
109	2930	23711
110	2956	23680
111	2981	23640
112	3008	23611
113	3033	23573
114	3059	23543
115	3086	23518
116	3113	23498
117	3139	23463
118	3164	23424
119	3192	23409
120	3217	23373
121	3245	23359
122	3275	23351
123	3301	23323
124	3331	23320
125	3359	23303
126	3387	23287
127	3420	23300
128	3449	23290
129	3479	23288
130	3509	23279
131	3537	23262
132	3566	23248
133	3595	23234
134	3621	23204
135	3647	23175
136	3675	23150
137	3700	23117
138	3726	23081
139	3752	23051
140	3778	23020
141	3806	22997
142	3835	22985
143	3864	22974
144	3889	22935
145	3915	22901
146	3943	22884
147	3970	22856
148	3997	22829
149	4025	22811
150	4053	22790
151	4082	22777
152	4112	22767
153	4137	22730
154	4163	22698
155	4188	22663
156	4214	22629
157	4244	22619
158	4269	22581
159	4294	22546
160	4321	22520
161	4348	22491
162	4372	22454
163	4397	22416
164	4423	22385
165	4448	22348
166	4474	22320
167	4502	22296
168	4526	22258
169	4550	22219
170	4577	22193
171	4603	22161
172	4630	22134
173	4655	22098
174	4678	22053
175	4704	22025
176	4730	21996
177	4755	21962
178	4781	21929
179	4808	21906
180	4836	21884
181	4863	21861
182	4893	21845
183	4919	21815
184	4946	21790
185	4972	21760
186	4998	21733
187	5023	21697
188	5051	21676
189	5080	21657
190	5108	21638
191	5134	21607
192	5161	21580
193	5187	21552
194	5212	21518
195	5237	21485
196	5263	21454
197	5291	21432
198	5317	21402
199	5343	21375
200	5370	21349
201	5404	21348
202	5431	21326
203	5464	21320
204	5492	21300
205	5524	21295
206	5554	21280
207	5579	21245
208	5607	21221
209	5636	21205
210	5662	21173
211	5687	21140
212	5712	21105
213	5738	21077
214	5764	21047
215	5791	21021
216	5815	20985
217	5842	20957
218	5871	20939
219	5895	20902
220	5922	20877
221	5949	20851
222	5977	20828
223	6011	20827
224	6050	20840
225	6096	20879
226	6124	20857
227	6152	20833
228	6182	20815
229	6212	20797
230	6245	20791
231	6278	20785
232	6309	20769
233	6342	20763
234	6376	20758
235	6405	20737
236	6434	20715
237	6470	20715
238	6500	20699
239	6538	20705
240	6572	20700
241	6608	20699
242	6640	20685
243	6676	20685
244	6706	20666
245	6738	20654
246	6784	20683
247	6818	20676
248	6850	20661
249	6903	20709
250	6938	20704
251	6965	20674
252	6999	20665
253	7029	20644
254	7054	20611
255	7087	20597
256	7118	20581
257	7151	20567
258	7185	20556
259	7227	20571
260	7263	20565
261	7336	20666
262	7367	20646
263	7394	20614
264	7423	20590
265	7456	20574
266	7484	20546
267	7515	20526
268	7546	20507
269	7589	20520
270	7630	20525
271	7661	20506
272	7695	20492
273	7725	20469
274	7757	20452
275	7791	20439
276	7822	20418
277	7848	20383
278	7878	20360
279	7911	20344
280	7942	20322
281	7972	20299
282	8004	20278
283	8040	20271
284	8072	20251
285	8106	20237
286	8138	20217
287	8168	20193
288	8199	20172
289	8227	20143
290	8255	20112
291	8284	20087
292	8305	20040
293	8334	20014
294	8370	20002
295	8400	19978
296	8425	19943
297	8454	19916
298	8490	19906
299	8548	19945
300	8581	19928
301	8615	19912
302	8651	19901
303	8679	19871
304	8708	19843
305	8736	19814
306	8765	19787
307	8794	19758
308	8820	19724
309	8843	19684
310	8871	19655
311	8902	19631
312	8936	19614
313	8968	19592
314	8997	19565
315	9029	19545
316	9063	19527
317	9097	19511
318	9126	19483
319	9161	19468
320	9192	19445
321	9228	19430
322	9256	19401
323	9279	19361
324	9304	19324
325	9331	19292
326	9356	19256
327	9388	19235
328	9419	19210
329	9451	19188
330	9485	19172
331	9515	19145
332	9547	19124
333	9578	19099
334	9607	19071
335	9636	19043
336	9666	19017
337	9693	18985
338	9725	18963
339	9750	18927
340	9776	18893
341	9806	18868
342	9834	18837
343	9863	18809
344	9893	18782
345	9921	18752
346	9947	18720
347	9977	18694
348	10004	18661
349	10031	18630
350	10062	18606
351	10094	18583
352	10129	18566
353	10163	18546
354	10191	18516
355	10217	18483
356	10243	18450
357	10268	18413
358	10292	18377
359	10316	18341
360	10341	18305
361	10367	18271
362	10393	18238
363	10425	18215
364	10454	18188
365	10484	18161
366	10510	18129
367	10539	18100
368	10570	18075
369	10601	18050
370	10630	18023
371	10666	18007
372	10702	17989
373	10732	17964
374	10764	17941
375	10793	17912
376	10822	17884
377	10849	17852
378	10876	17822
379	10904	17791
380	10933	17763
381	10962	17735
382	10992	17709
383	11022	17681
384	11049	17650
385	11079	17623
386	11107	17594
387	11139	17569
388	11168	17542
389	11194	17509
390	11224	17481
391	11251	17450
392	11278	17420
393	11304	17386
394	11329	17352
395	11356	17322
396	11384	17291
397	11412	17261
398	11435	17224
399	11463	17194
400	11489	17162
401	11522	17139
402	11555	17118
403	11585	17091
404	11615	17064
405	11645	17037
406	11674	17010
407	11694	16968
408	11721	16937
409	11745	16902
410	11771	16870
411	11797	16837
412	11825	16808
413	11854	16778
414	11881	16747
415	11908	16718
416	11935	16687
417	11965	16659
418	11992	16629
419	12022	16603
420	12050	16573
421	12077	16542
422	12107	16514
423	12133	16483
424	12163	16456
425	12195	16432
426	12223	16403
427	12250	16372
428	12282	16347
429	12310	16318
430	12338	16289
431	12370	16264
432	12396	16232
433	12426	16205
434	12458	16182
435	12487	16154
436	12517	16126
437	12548	16101
438	12574	16068
439	12603	16041
440	12633	16014
441	12667	15992
442	12693	15960
443	12722	15932
444	12752	15904
445	12778	15872
446	12805	15841
447	12830	15808
448	12860	15782
449	12889	15753
450	12919	15727
451	12946	15695
452	12977	15669
453	13006	15641
454	13034	15612
455	13061	15582
456	13090	15553
457	13123	15530
458	13154	15504
459	13182	15475
460	13213	15448
461	13240	15418
462	13269	15390
463	13299	15363
464	13332	15339
465	13359	15309
466	13387	15279
467	13418	15253
468	13444	15222
469	13474	15194
470	13504	15167
471	13536	15142
472	13566	15115
473	13596	15087
474	13621	15054
475	13652	15029
476	13684	15004
477	13711	14973
478	13737	14941
479	13766	14913
480	13794	14884
481	13821	14853
482	13847	14822
483	13873	14790
484	13905	14765
485	13934	14737
486	13964	14709
487	13993	14681
488	14022	14652
489	14053	14626
490	14082	14598
491	14112	14571
492	14143	14545
493	14177	14521
494	14207	14494
495	14235	14464
496	14269	14441
497	14295	14409
498	14325	14383
499	14354	14354
500	14387	14329
501	14415	14300
502	14441	14269
503	14475	14246
504	14510	14222
505	14537	14192
